DATE,CLVMEURSCAB1GQEA19
1995-01-01,1836114.0
1995-04-01,1846692.8
1995-07-01,1853112.4
1995-10-01,1859610.8
1996-01-01,1862020.8
1996-04-01,1875348.1
1996-07-01,1884505.8
1996-10-01,1893763.3
1997-01-01,1898502.6
1997-04-01,1921591.4
1997-07-01,1937189.4
1997-10-01,1958984.6
1998-01-01,1971834.9
1998-04-01,1980482.7
1998-07-01,1991712.7
1998-10-01,1994626.6
1999-01-01,2014966.4
1999-04-01,2025606.1
1999-07-01,2050123.0
1999-10-01,2073249.4
2000-01-01,2098548.0
2000-04-01,2117257.4
2000-07-01,2130037.9
2000-10-01,2143685.5
2001-01-01,2164477.1
2001-04-01,2167140.5
2001-07-01,2170327.3
2001-10-01,2171000.8
2002-01-01,2174140.7
2002-04-01,2185676.3
2002-07-01,2194797.8
2002-10-01,2198532.3
2003-01-01,2191486.6
2003-04-01,2193443.0
2003-07-01,2206539.6
2003-10-01,2221635.5
2004-01-01,2232725.5
2004-04-01,2246455.7
2004-07-01,2251972.8
2004-10-01,2260272.8
2005-01-01,2264911.4
2005-04-01,2278874.2
2005-07-01,2296731.7
2005-10-01,2310847.1
2006-01-01,2330482.9
2006-04-01,2356670.3
2006-07-01,2371240.4
2006-10-01,2398550.4
2007-01-01,2412788.6
2007-04-01,2430235.0
2007-07-01,2441081.6
2007-10-01,2453814.3
2008-01-01,2466174.3
2008-04-01,2457292.5
2008-07-01,2445174.5
2008-10-01,2400816.1
2009-01-01,2326349.7
2009-04-01,2325479.9
2009-07-01,2334580.2
2009-10-01,2345670.0
2010-01-01,2354795.6
2010-04-01,2377584.2
2010-07-01,2388128.7
2010-10-01,2402454.9
2011-01-01,2423117.5
2011-04-01,2423145.0
2011-07-01,2426634.6
2011-10-01,2416750.8
2012-01-01,2410770.0
2012-04-01,2405238.1
2012-07-01,2402665.1
2012-10-01,2391689.8
2013-01-01,2383298.5
2013-04-01,2396411.9
2013-07-01,2403631.7
2013-10-01,2410941.7
2014-01-01,2420515.1
2014-04-01,2425634.5
2014-07-01,2436982.9
2014-10-01,2445657.7
2015-01-01,2461202.3
2015-04-01,2472967.3
2015-07-01,2482414.3
2015-10-01,2493884.2
2016-01-01,2508177.6
2016-04-01,2513800.7
2016-07-01,2525743.1
2016-10-01,2545386.4
2017-01-01,2563151.6
2017-04-01,2583679.1
2017-07-01,2602889.6
2017-10-01,2623497.3
2018-01-01,2623689.8
2018-04-01,2638462.6
2018-07-01,2637672.1
2018-10-01,2655464.3
2019-01-01,2671716.1
2019-04-01,2681202.4
2019-07-01,2685482.4
2019-10-01,2686375.8
2020-01-01,2595311.7
2020-04-01,2302998.9
2020-07-01,2579608.9
2020-10-01,2578358.8
2021-01-01,2590273.1
2021-04-01,2644495.4
2021-07-01,2698676.7
2021-10-01,2712546.2
2022-01-01,2731216.7
2022-04-01,2753266.8
2022-07-01,2762758.5
2022-10-01,2762046.0
2023-01-01,2763219.1
2023-04-01,2767324.0
2023-07-01,2765595.5
