DATE,PNGASEUUSDQ
1990-01-01,1.72999996609158
1990-04-01,2.10999976264106
1990-07-01,1.91999986436632
1990-10-01,2.37999979654948
1991-01-01,2.95999993218317
1991-04-01,3.41000027126736
1991-07-01,3.12000020345053
1991-10-01,2.54000006781684
1992-01-01,2.37999979654948
1992-04-01,2.33999972873264
1992-07-01,2.39000023735894
1992-10-01,2.3500001695421
1993-01-01,2.69999991522895
1993-04-01,2.60333329659921
1993-07-01,2.55000008477105
1993-10-01,2.54000006781684
1994-01-01,2.21999994913737
1994-04-01,2.23999998304579
1994-07-01,2.34999995761447
1994-10-01,2.43999989827474
1995-01-01,2.58999994066026
1995-04-01,2.68999989827474
1995-07-01,2.76944435967339
1995-10-01,2.73499990392614
1996-01-01,2.68000009324816
1996-04-01,2.68999989827474
1996-07-01,2.68999989827474
1996-10-01,2.93999989827475
1997-01-01,2.90148148713288
1997-04-01,2.72999996609158
1997-07-01,2.59999995761447
1997-10-01,2.44999991522895
1998-01-01,2.48999998304579
1998-04-01,2.36999999152289
1998-07-01,2.20999993218316
1998-10-01,1.91000005933974
1999-01-01,1.78888888888889
1999-04-01,1.67
1999-07-01,1.73
1999-10-01,2.03888888888889
2000-01-01,3.05555555555556
2000-04-01,3.24
2000-07-01,3.59
2000-10-01,3.93
2001-01-01,4.22
2001-04-01,4.26
2001-07-01,3.78
2001-10-01,3.23285714285714
2002-01-01,2.79
2002-04-01,2.56
2002-07-01,2.52412698412698
2002-10-01,2.79121212121212
2003-01-01,3.15679012345679
2003-04-01,3.57851851851852
2003-07-01,3.61
2003-10-01,3.6
2004-01-01,3.39
2004-04-01,3.48
2004-07-01,3.81
2004-10-01,4.34
2005-01-01,5.06
2005-04-01,5.51
2005-07-01,6.13
2005-10-01,6.96
2006-01-01,7.66
2006-04-01,8.14
2006-07-01,8.4
2006-10-01,8.65
2007-01-01,8.39
2007-04-01,7.83
2007-07-01,7.79
2007-10-01,8.56
2008-01-01,10.27
2008-04-01,11.9
2008-07-01,14.36
2008-10-01,16.02
2009-01-01,13.9866666666667
2009-04-01,8.6
2009-07-01,6.38333333333333
2009-10-01,6.45
2010-01-01,7.59
2010-04-01,8.09333333333333
2010-07-01,8.51333333333333
2010-10-01,8.69333333333333
2011-01-01,9.15
2011-04-01,10.0166666666667
2011-07-01,11.14
2011-10-01,12.08
2012-01-01,12.3533333333333
2012-04-01,12.5666666666667
2012-07-01,11.3866666666667
2012-10-01,11.6166666666667
2013-01-01,11.37
2013-04-01,11.4566666666667
2013-07-01,10.97
2013-10-01,10.96
2014-01-01,10.8066666666667
2014-04-01,10.65
2014-07-01,10.06
2014-10-01,10.3366666666667
2015-01-01,9.36
2015-04-01,7.35333333333333
2015-07-01,6.61
2015-10-01,5.89666666666667
2016-01-01,4.65666666666667
2016-04-01,4.01666666666667
2016-07-01,4.17
2016-10-01,4.57
2017-01-01,5.77448617065583
2017-04-01,5.03203878030393
2017-07-01,5.55756420636993
2017-10-01,6.61211616773738
2018-01-01,7.67523339099556
2018-04-01,7.34333955035808
2018-07-01,8.4146856484998
2018-10-01,8.23111686245566
2019-01-01,6.11486119536402
2019-04-01,4.26548957916035
2019-07-01,3.3176483905734
2019-10-01,4.1214308376875
2020-01-01,3.13719019495212
2020-04-01,1.73126483508949
2020-07-01,2.70247464751004
2020-10-01,5.1419895871953
2021-01-01,6.55978629182956
2021-04-01,8.8705222517523
2021-07-01,16.6787009882486
2021-10-01,31.5204440106444
2022-01-01,32.200971482762
2022-04-01,30.7888826524621
2022-07-01,58.7674264169995
2022-10-01,28.3220575619341
2023-01-01,16.8312954938446
2023-04-01,11.3159226239553
2023-07-01,10.5856901976586
