DATE,PNGASJPUSDQ
1992-01-01,3.6
1992-04-01,3.585
1992-07-01,3.96
1992-10-01,3.83
1993-01-01,3.63
1993-04-01,3.80333333333333
1993-07-01,3.63
1993-10-01,3.32666666666667
1994-01-01,3.13333333333333
1994-04-01,3.18
1994-07-01,3.52666666666667
1994-10-01,3.3
1995-01-01,3.57333333333333
1995-04-01,3.79333333333333
1995-07-01,3.43
1995-10-01,3.43
1996-01-01,3.72
1996-04-01,3.81
1996-07-01,3.82333333333333
1996-10-01,4.25666666666667
1997-01-01,4.26666666666667
1997-04-01,3.70333333333333
1997-07-01,3.47666666666667
1997-10-01,3.59666666666667
1998-01-01,3.08333333333333
1998-04-01,2.64666666666667
1998-07-01,2.59666666666667
1998-10-01,2.69
1999-01-01,2.60666666666667
1999-04-01,2.96333333333333
1999-07-01,3.52666666666667
1999-10-01,4.27333333333333
2000-01-01,4.69
2000-04-01,4.93333333333333
2000-07-01,5.48333333333333
2000-10-01,5.83333333333333
2001-01-01,4.83
2001-04-01,4.95
2001-07-01,4.80333333333333
2001-10-01,4.09333333333333
2002-01-01,3.63333333333333
2002-04-01,4.34666666666667
2002-07-01,4.97
2002-10-01,4.75666666666667
2003-01-01,5.25333333333333
2003-04-01,4.91666666666667
2003-07-01,4.78333333333333
2003-10-01,4.97
2004-01-01,5.21
2004-04-01,5.61666666666667
2004-07-01,6.02333333333333
2004-10-01,6.71333333333333
2005-01-01,6.12666666666667
2005-04-01,6.93666666666667
2005-07-01,7.33
2005-10-01,7.73666666666667
2006-01-01,7.71333333333333
2006-04-01,8.33666666666667
2006-07-01,8.57
2006-10-01,7.57666666666667
2007-01-01,7.39666666666667
2007-04-01,8.13666666666667
2007-07-01,8.46
2007-10-01,9.65
2008-01-01,10.6266666666667
2008-04-01,12.3633333333333
2008-07-01,13.4966666666667
2008-10-01,9.87666666666667
2009-01-01,6.03666666666667
2009-04-01,6.74333333333333
2009-07-01,8.36
2009-10-01,8.82333333333333
2010-01-01,9.17333333333333
2010-04-01,9.55333333333333
2010-07-01,8.97333333333333
2010-10-01,9.82333333333333
2011-01-01,11.6266666666667
2011-04-01,15.4833333333333
2011-07-01,17.2566666666667
2011-10-01,17.8466666666667
2012-01-01,17.53
2012-04-01,19.0933333333333
2012-07-01,18.75
2012-10-01,17.2066666666667
2013-01-01,17.94
2013-04-01,17.4466666666667
2013-07-01,16.9966666666667
2013-10-01,16.9733333333333
2014-01-01,17.8433333333333
2014-04-01,17.62
2014-07-01,16.4533333333333
2014-10-01,16.0733333333333
2015-01-01,14.4133333333333
2015-04-01,9.61666666666667
2015-07-01,9.83
2015-10-01,9.97333333333333
2016-01-01,8.15333333333333
2016-04-01,6.85666666666667
2016-07-01,7.35333333333333
2016-10-01,7.39333333333333
2017-01-01,7.36562450592885
2017-04-01,5.65073295454545
2017-07-01,6.28235334713595
2017-10-01,9.69106782106781
2018-01-01,10.2004914361001
2018-04-01,8.84182194616975
2018-07-01,10.5510691699605
2018-10-01,9.5882765543635
2019-01-01,6.67729675638371
2019-04-01,4.83409092477571
2019-07-01,4.58469963611268
2019-10-01,5.68240965556183
2020-01-01,3.70426976284585
2020-04-01,2.06965367965368
2020-07-01,3.50748117824205
2020-10-01,8.18429136081311
2021-01-01,11.3424887853692
2021-04-01,9.97530105401844
2021-07-01,18.2678787878788
2021-10-01,34.8161973775017
2022-01-01,31.1291509661836
2022-04-01,26.8302236652237
2022-07-01,46.6697575757667
2022-10-01,28.5589567099333
2023-01-01,16.6661536994667
2023-04-01,10.6729948166
2023-07-01,11.9285483405667
