DATE,PNGASUSUSDQ
1991-01-01,1.39991666666667
1991-04-01,1.31655555555556
1991-07-01,1.30814166666667
1991-10-01,1.7784
1992-01-01,1.2935
1992-04-01,1.51176666666667
1992-07-01,1.89506666666667
1992-10-01,2.30238333333333
1993-01-01,1.94996666666667
1993-04-01,2.14703333333333
1993-07-01,2.2087
1993-10-01,2.1513
1994-01-01,2.41683333333333
1994-04-01,1.97895833333333
1994-07-01,1.66953333333333
1994-10-01,1.594175
1995-01-01,1.50861666666667
1995-04-01,1.63815
1995-07-01,1.53033333333333
1995-10-01,2.1408
1996-01-01,3.22979166666667
1996-04-01,2.32776666666667
1996-07-01,2.144125
1996-10-01,3.0558
1997-01-01,2.43528333333333
1997-04-01,2.14336666666667
1997-07-01,2.48879166666667
1997-10-01,2.77338333333333
1998-01-01,2.18126666666667
1998-04-01,2.25025833333333
1998-07-01,2.00333333333333
1998-10-01,1.91656666666667
1999-01-01,1.79881666666667
1999-04-01,2.22584166666667
1999-07-01,2.56118333333333
1999-10-01,2.4584
2000-01-01,2.61390833333333
2000-04-01,3.63736044722222
2000-07-01,4.4935072462963
2000-10-01,6.48562121203704
2001-01-01,6.30072112037037
2001-04-01,4.36821428611111
2001-07-01,2.75067233305555
2001-10-01,2.41636422574074
2002-01-01,2.5333738512963
2002-04-01,3.38575757592593
2002-07-01,3.21009090925926
2002-10-01,4.31425592962963
2003-01-01,6.42278195488722
2003-04-01,5.63968253968254
2003-07-01,4.87813852813853
2003-10-01,5.08852657004831
2004-01-01,5.6409763539283
2004-04-01,6.10579365079365
2004-07-01,5.50329004329004
2004-10-01,6.38249206349206
2005-01-01,6.41529186602871
2005-04-01,6.94468975468976
2005-07-01,9.89094023464458
2005-10-01,12.3277857142857
2006-01-01,7.69675438596491
2006-04-01,6.53598883572568
2006-07-01,6.06758886346301
2006-10-01,6.66104545454545
2007-01-01,7.23341228070175
2007-04-01,7.52901731601732
2007-07-01,6.1733551269478
2007-10-01,6.99086651411136
2008-01-01,8.64645238095238
2008-04-01,11.3766666666667
2008-07-01,8.98537252221463
2008-10-01,6.42298136645963
2009-01-01,4.56550558213716
2009-04-01,3.70875396825397
2009-07-01,3.16886724386724
2009-10-01,4.33985645933014
2010-01-01,5.14344774980931
2010-04-01,4.32407359307359
2010-07-01,4.2791341991342
2010-10-01,3.79784126984127
2011-01-01,4.18542639206713
2011-04-01,4.36223196248196
2011-07-01,4.12213768115942
2011-10-01,3.33022222222222
2012-01-01,2.44858878787879
2012-04-01,2.28001623376623
2012-07-01,2.88221928371654
2012-10-01,3.39895514492754
2013-01-01,3.47611904761905
2013-04-01,4.01390382081686
2013-07-01,3.55701016374929
2013-10-01,3.86342744212309
2014-01-01,4.72550759144237
2014-04-01,4.57868686868687
2014-07-01,3.95571679528201
2014-10-01,3.84244202898551
2015-01-01,2.81307575757576
2015-04-01,2.74087301587302
2015-07-01,2.73338979860719
2015-10-01,2.23414455110107
2016-01-01,1.99182194616977
2016-04-01,2.2417316017316
2016-07-01,2.79788913984566
2016-10-01,3.17897546897547
2017-01-01,3.06971607378129
2017-04-01,3.1402628458498
2017-07-01,2.95574879227053
2017-10-01,2.91165945165945
2018-01-01,2.83688274044796
2018-04-01,2.83305037957212
2018-07-01,2.86631422924901
2018-10-01,3.73995294560512
2019-01-01,2.86384299516908
2019-04-01,2.5063372859025
2019-07-01,2.32765104460757
2019-10-01,2.41627831106092
2020-01-01,1.87069828722003
2020-04-01,1.75740981240981
2020-07-01,2.13008626639061
2020-10-01,2.76144990275425
2021-01-01,2.7294071773637
2021-04-01,2.9725974025974
2021-07-01,4.31287878787879
2021-10-01,4.84959345002823
2022-01-01,4.55987922705314
2022-04-01,7.49189033189033
2022-07-01,7.90714630779848
2022-10-01,6.10626984126984
2023-01-01,2.77283135704875
2023-04-01,2.32993610013175
2023-07-01,2.66418219461698
