DATE,POILDUBUSDQ
1990-01-01,16.646382740448
1990-04-01,14.0584817115252
1990-07-01,23.5836989459816
1990-10-01,27.5829766610201
1991-01-01,16.3864071773637
1991-04-01,15.5761851119895
1991-07-01,16.8819091536483
1991-10-01,17.5120685111989
1992-01-01,15.5652404479578
1992-04-01,17.7452597402597
1992-07-01,18.2259075224293
1992-10-01,17.1662478825522
1993-01-01,15.8936080055211
1993-04-01,16.0502886002886
1993-07-01,14.3281818181818
1993-10-01,13.585937323546
1994-01-01,12.6366718426501
1994-04-01,14.7434920634921
1994-07-01,15.8581589183763
1994-10-01,15.5824458874459
1995-01-01,16.2973965744401
1995-04-01,16.9547806324111
1995-07-01,15.3360731538992
1995-10-01,15.9255050505051
1996-01-01,16.5614216701173
1996-04-01,17.2963596837945
1996-07-01,18.8639996235648
1996-10-01,21.3818592759897
1997-01-01,19.4921815044859
1997-04-01,17.5043722943723
1997-07-01,17.6443189660581
1997-10-01,17.9746376811594
1998-01-01,12.550803030303
1998-04-01,12.2987373737374
1998-07-01,12.4432426751992
1998-10-01,11.5597694334651
1999-01-01,11.0689451345756
1999-04-01,15.2577417027417
1999-07-01,19.7501515151515
1999-10-01,22.6870085952695
2000-01-01,24.392160110421
2000-04-01,25.044895256917
2000-07-01,27.8013871635611
2000-10-01,27.6821500721501
2001-01-01,23.6650553359684
2001-04-01,25.1305659075224
2001-07-01,24.0682483530962
2001-10-01,18.4228455361064
2002-01-01,20.1587522429262
2002-04-01,24.2523689064559
2002-07-01,25.5609862601167
2002-10-01,25.1225443879792
2003-01-01,28.5344109730849
2003-04-01,24.5148340548341
2003-07-01,26.6363404228622
2003-10-01,27.5584565217391
2004-01-01,29.4841133069829
2004-04-01,33.3178932178932
2004-07-01,36.5463636363636
2004-10-01,35.6902631909154
2005-01-01,41.3562173913043
2005-04-01,47.7564574314574
2005-07-01,55.5806634669678
2005-10-01,52.7403463203463
2006-01-01,58.0816482213439
2006-04-01,65.0011166007905
2006-07-01,65.7908488612836
2006-10-01,57.1950721500722
2007-01-01,55.5743748353096
2007-04-01,64.8513250517598
2007-07-01,70.3028919631093
2007-10-01,83.5574025974026
2008-01-01,91.2205521048999
2008-04-01,117.13145021645
2008-07-01,112.992673317021
2008-10-01,52.283884057971
2009-01-01,43.5387878787879
2009-04-01,58.0108008658009
2009-07-01,68.2749021268586
2009-10-01,74.9965885563712
2010-01-01,76.0505251897861
2010-04-01,77.8861327561327
2010-07-01,74.4778787878788
2010-10-01,84.3762146307798
2011-01-01,100.133432022084
2011-04-01,110.49272005772
2011-07-01,106.852275550536
2011-10-01,104.936067821068
2012-01-01,115.959790764791
2012-04-01,106.528702553485
2012-07-01,106.590942687747
2012-10-01,107.310010038271
2013-01-01,108.337435817805
2013-04-01,100.800746376812
2013-07-01,106.324622937449
2013-10-01,106.952786561265
2014-01-01,104.456870600414
2014-04-01,106.174365079365
2014-07-01,101.315307108351
2014-10-01,74.1076594202898
2015-01-01,52.2430303030303
2015-04-01,61.1363347763348
2015-07-01,49.7199024405546
2015-10-01,40.5316497270845
2016-01-01,30.8603174603175
2016-04-01,43.3299062049062
2016-07-01,43.3634186586361
2016-10-01,48.3262481962482
2017-01-01,52.9617984189723
2017-04-01,49.6817371541502
2017-07-01,50.6616011042098
2017-10-01,59.2485497835498
2018-01-01,64.1910184453228
2018-04-01,72.0187991718427
2018-07-01,74.096442687747
2018-10-01,66.3725218018696
2019-01-01,63.5531704623879
2019-04-01,66.8406455862978
2019-07-01,60.7403836501663
2019-10-01,61.5122200263505
2020-01-01,50.2276027667984
2020-04-01,32.9547402597403
2020-07-01,42.608079239601
2020-10-01,44.638437166698
2021-01-01,60.0616642512077
2021-04-01,66.9274242424242
2021-07-01,71.2087878787879
2021-10-01,77.6475654056089
2022-01-01,94.1879261559696
2022-04-01,107.492049062049
2022-07-01,95.2514473931865
2022-10-01,84.223253968254
2023-01-01,80.1502898550725
2023-04-01,77.6423919631093
2023-07-01,86.6691097308488
